NAME                TYPE           CLUSTER-IP      EXTERNAL-IP   PORT(S)             AGE
ai-service          ClusterIP      10.43.144.219   <none>        8765/TCP            47h
envoy               LoadBalancer   10.43.166.148   172.18.0.2    10000:31016/TCP     47h
game-service        ClusterIP      10.43.175.193   <none>        8080/TCP,9090/TCP   47h
grafana             LoadBalancer   10.43.225.245   172.18.0.2    3000:31542/TCP      47h
history-service     ClusterIP      10.43.132.157   <none>        8081/TCP            47h
mongo               ClusterIP      None            <none>        27017/TCP           47h
postgres            ClusterIP      None            <none>        5432/TCP            47h
prometheus          ClusterIP      10.43.244.15    <none>        9090/TCP            47h
python-ai-service   ClusterIP      10.43.172.29    <none>        8765/TCP            43h
redis               ClusterIP      None            <none>        6379/TCP            47h
