NAME                                READY   STATUS    RESTARTS        AGE     IP           NODE                            NOMINATED NODE   READINESS GATES
ai-service-68c455865c-s2lhl         1/1     Running   0               6m42s   10.42.0.21   k3d-searchess-server-server-0   <none>           <none>
envoy-7f6d87458c-cg5z9              1/1     Running   0               3h38m   10.42.0.13   k3d-searchess-server-server-0   <none>           <none>
game-service-b8bcb66cf-n4kp6        1/1     Running   3 (3h37m ago)   3h38m   10.42.0.8    k3d-searchess-server-server-0   <none>           <none>
grafana-b4cd46596-vxzx2             1/1     Running   0               3h38m   10.42.0.9    k3d-searchess-server-server-0   <none>           <none>
history-service-86867cff5f-g8nfw    1/1     Running   3 (3h37m ago)   3h38m   10.42.0.10   k3d-searchess-server-server-0   <none>           <none>
mongo-0                             1/1     Running   0               3h38m   10.42.0.16   k3d-searchess-server-server-0   <none>           <none>
postgres-0                          1/1     Running   0               3h38m   10.42.0.17   k3d-searchess-server-server-0   <none>           <none>
prometheus-68755dfbd6-7kb9j         1/1     Running   0               3h38m   10.42.0.11   k3d-searchess-server-server-0   <none>           <none>
python-ai-service-95c6fd565-pglbz   1/1     Running   0               7m23s   10.42.0.20   k3d-searchess-server-server-0   <none>           <none>
redis-0                             1/1     Running   0               3h38m   10.42.0.18   k3d-searchess-server-server-0   <none>           <none>
