piece,color,state,frame_w,frame_h,frame_count,avg_content_w,avg_content_h,avg_center_y,avg_top_pad,avg_bot_pad,h_vs_idle,w_vs_idle,idle_content_h,idle_content_w,idle_center_y_pct,center_y_pct
pawn,white,idle,200,200,4,33.0,55.0,100.5,73.0,72.0,1.0,1.0,55.0,33.0,50.2,50.2
pawn,white,move,200,200,8,42.5,47.0,103.4,79.9,73.1,0.855,1.288,55.0,33.0,50.2,51.7
pawn,white,attack,200,200,4,49.0,61.0,97.5,67.0,72.0,1.109,1.485,55.0,33.0,50.2,48.8
pawn,white,attack1,200,200,4,65.5,57.5,99.2,70.5,72.0,1.045,1.985,55.0,33.0,50.2,49.6
pawn,white,hit,200,200,3,33.0,55.7,100.2,72.3,72.0,1.012,1.0,55.0,33.0,50.2,50.1
pawn,white,dead,200,200,7,48.1,35.7,110.1,92.3,72.0,0.649,1.459,55.0,33.0,50.2,55.1
pawn,black,idle,200,200,4,33.0,55.0,100.5,73.0,72.0,1.0,1.0,55.0,33.0,50.2,50.2
pawn,black,move,200,200,8,42.5,47.0,103.4,79.9,73.1,0.855,1.288,55.0,33.0,50.2,51.7
pawn,black,attack,200,200,4,49.0,61.0,97.5,67.0,72.0,1.109,1.485,55.0,33.0,50.2,48.8
pawn,black,attack1,200,200,4,65.5,57.5,99.2,70.5,72.0,1.045,1.985,55.0,33.0,50.2,49.6
pawn,black,hit,200,200,3,33.0,55.7,100.2,72.3,72.0,1.012,1.0,55.0,33.0,50.2,50.1
pawn,black,dead,200,200,7,48.1,35.7,110.1,92.3,72.0,0.649,1.459,55.0,33.0,50.2,55.1
rook,white,idle,200,200,8,37.0,50.6,96.7,71.4,78.0,1.0,1.0,50.6,37.0,48.3,48.3
rook,white,move,200,200,8,46.0,47.5,98.1,74.4,78.1,0.938,1.243,50.6,37.0,48.3,49.1
rook,white,attack,200,200,6,63.3,58.3,92.8,63.7,78.0,1.152,1.712,50.6,37.0,48.3,46.4
rook,white,attack1,200,200,6,67.7,58.7,92.7,63.3,78.0,1.159,1.829,50.6,37.0,48.3,46.3
rook,white,hit,200,200,4,42.2,53.0,95.5,69.0,78.0,1.047,1.142,50.6,37.0,48.3,47.8
rook,white,dead,200,200,6,46.3,46.8,98.6,75.2,78.0,0.925,1.252,50.6,37.0,48.3,49.3
rook,black,idle,200,200,8,37.0,50.6,96.7,71.4,78.0,1.0,1.0,50.6,37.0,48.3,48.3
rook,black,move,200,200,8,46.0,47.5,98.1,74.4,78.1,0.938,1.243,50.6,37.0,48.3,49.1
rook,black,attack,200,200,6,63.3,58.3,92.8,63.7,78.0,1.152,1.712,50.6,37.0,48.3,46.4
rook,black,attack1,200,200,6,67.7,58.7,92.7,63.3,78.0,1.159,1.829,50.6,37.0,48.3,46.3
rook,black,hit,200,200,4,42.2,53.0,95.5,69.0,78.0,1.047,1.142,50.6,37.0,48.3,47.8
rook,black,dead,200,200,6,46.3,46.8,98.6,75.2,78.0,0.925,1.252,50.6,37.0,48.3,49.3
knight,white,idle,103,104,4,29.2,39.0,54.5,35.0,30.0,1.0,1.0,39.0,29.2,52.4,52.4
knight,white,move,103,104,8,39.8,34.8,56.4,39.0,30.2,0.891,1.359,39.0,29.2,52.4,54.2
knight,white,attack,103,104,4,42.8,42.8,52.6,31.2,30.0,1.096,1.462,39.0,29.2,52.4,50.6
